               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10557,            0.050223,            0.027051,             0.11802,             0.11127,            0.053101,           0.0085978,            0.080656,             0.04161,            0.021967,             0.00149,             0.00149,             0.08659
                   1,            0.076689,            0.042643,            0.022604,             0.23554,             0.42849,             0.23976,            0.049953,            0.068886,            0.030343,            0.014629,           0.0029898,           0.0029898,             0.07309
                   2,            0.071326,            0.036689,            0.011899,             0.43201,             0.61499,             0.46169,             0.12941,            0.060654,            0.027699,            0.005021,            0.004489,            0.004489,            0.059589
                   3,            0.068048,            0.031896,           0.0068034,             0.47482,             0.58402,             0.47857,             0.11492,            0.059631,            0.027874,           0.0043271,            0.005987,            0.005987,            0.046087
                   4,            0.063683,            0.032447,           0.0055261,             0.40154,             0.69956,             0.44878,             0.11144,            0.055351,            0.027166,           0.0038872,           0.0074833,           0.0074833,            0.032583
                   5,            0.063445,            0.032101,           0.0049586,             0.55705,             0.62923,             0.54184,             0.19053,            0.056724,            0.025427,           0.0029965,           0.0089775,           0.0089775,            0.019078
                   6,            0.058512,            0.034618,           0.0045385,             0.69907,             0.67472,             0.65636,             0.18611,            0.052979,            0.027756,           0.0030448,             0.00998,             0.00998,             0.00998
                   7,            0.054517,            0.032808,           0.0037796,             0.42722,             0.61067,             0.37746,            0.082735,            0.064723,            0.029042,           0.0038729,             0.00998,             0.00998,             0.00998
                   8,            0.052253,            0.032742,           0.0040637,             0.74239,             0.75778,              0.7356,             0.30355,            0.047935,            0.029988,           0.0016771,           0.0099728,           0.0099728,           0.0099728
                   9,            0.050945,            0.031278,           0.0034507,               0.815,             0.73374,             0.77558,             0.28513,            0.046221,            0.027351,           0.0021057,           0.0099645,           0.0099645,           0.0099645
                  10,            0.047183,            0.032107,            0.002887,             0.75882,             0.72892,             0.71208,             0.28812,            0.047656,            0.029962,           0.0017795,           0.0099551,           0.0099551,           0.0099551
                  11,            0.046629,            0.032987,           0.0027242,              0.7753,             0.70363,             0.71121,             0.32213,            0.045533,            0.029337,           0.0016996,           0.0099446,           0.0099446,           0.0099446
                  12,            0.045327,            0.031502,            0.002434,             0.80032,             0.75935,             0.76497,             0.28919,            0.046052,             0.02815,           0.0016102,            0.009933,            0.009933,            0.009933
                  13,            0.043853,            0.030144,            0.002614,             0.80819,             0.81795,             0.81608,             0.35765,            0.041643,            0.027097,           0.0017848,           0.0099203,           0.0099203,           0.0099203
                  14,            0.043558,            0.029798,           0.0023637,             0.76938,             0.72915,              0.7061,             0.30687,            0.046431,            0.033137,           0.0016113,           0.0099065,           0.0099065,           0.0099065
                  15,            0.041268,            0.031563,           0.0022918,             0.72322,             0.71216,             0.67226,             0.26449,             0.04937,            0.031628,           0.0014953,           0.0098916,           0.0098916,           0.0098916
                  16,            0.042366,            0.028995,           0.0021789,             0.86028,             0.81483,             0.84273,             0.37925,            0.039891,            0.026339,           0.0014122,           0.0098757,           0.0098757,           0.0098757
                  17,            0.042784,              0.0301,           0.0020582,             0.80321,             0.75402,             0.73732,             0.31459,             0.04539,             0.03215,           0.0012148,           0.0098586,           0.0098586,           0.0098586
                  18,            0.040562,            0.027034,           0.0017425,             0.64782,              0.6626,             0.60803,             0.23787,            0.051791,            0.034255,           0.0013302,           0.0098405,           0.0098405,           0.0098405
                  19,            0.041513,            0.026795,           0.0018017,             0.82733,             0.78772,             0.77978,             0.31923,            0.043206,             0.02831,           0.0012499,           0.0098213,           0.0098213,           0.0098213
                  20,            0.039481,            0.028115,           0.0018994,             0.82535,             0.79909,              0.8161,             0.34986,            0.043044,            0.026155,           0.0016009,           0.0098011,           0.0098011,           0.0098011
                  21,            0.040602,            0.029845,           0.0017655,             0.85868,             0.83368,             0.83567,             0.36089,            0.041329,            0.028044,           0.0013529,           0.0097798,           0.0097798,           0.0097798
                  22,            0.039824,             0.02804,           0.0017172,             0.79174,             0.78622,             0.75865,             0.31442,            0.044334,            0.031248,           0.0011876,           0.0097574,           0.0097574,           0.0097574
                  23,            0.039484,            0.027732,           0.0014296,             0.66579,             0.66001,             0.61634,             0.23737,            0.051083,             0.03352,           0.0012626,            0.009734,            0.009734,            0.009734
                  24,            0.038958,             0.02762,           0.0015201,             0.72328,             0.73575,             0.66789,             0.26975,            0.048448,            0.032639,            0.001079,           0.0097095,           0.0097095,           0.0097095
