               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.098962,            0.047839,            0.026386,             0.21073,             0.33277,             0.17331,            0.035906,            0.072664,            0.035386,            0.019475,             0.00299,             0.00299,             0.07309
                   1,            0.076547,             0.03713,            0.017426,             0.33015,             0.42584,             0.30471,            0.057299,            0.069221,            0.029228,           0.0072864,           0.0059887,           0.0059887,            0.046089
                   2,            0.072889,            0.033426,           0.0086418,             0.40699,             0.59361,             0.43708,             0.12887,            0.074476,            0.025231,           0.0037655,            0.008982,            0.008982,            0.019082
                   3,            0.066116,            0.031907,           0.0069963,             0.56045,             0.50128,             0.47589,             0.14714,            0.063581,            0.026403,           0.0024552,             0.00998,             0.00998,             0.00998
                   4,            0.057621,            0.031831,           0.0053473,             0.58527,             0.61416,              0.5552,             0.18052,            0.048323,            0.028128,              0.0164,             0.00998,             0.00998,             0.00998
                   5,            0.052922,            0.032941,           0.0042629,             0.68675,             0.71545,             0.67973,             0.24447,            0.049171,            0.029336,            0.002282,           0.0099645,           0.0099645,           0.0099645
                   6,            0.050052,            0.035163,           0.0039657,             0.71509,             0.68466,             0.67368,             0.24874,            0.049245,            0.029078,           0.0017402,           0.0099446,           0.0099446,           0.0099446
                   7,            0.047923,            0.030627,           0.0033666,             0.67859,             0.67337,             0.62615,             0.25968,            0.051777,            0.028222,           0.0018585,           0.0099203,           0.0099203,           0.0099203
                   8,            0.046196,            0.030096,           0.0031781,             0.88987,             0.77886,             0.84181,             0.34406,             0.03968,            0.025696,            0.002015,           0.0098916,           0.0098916,           0.0098916
                   9,            0.045192,            0.031224,           0.0032134,             0.68855,             0.69041,             0.63732,             0.23954,            0.050986,            0.029928,           0.0017251,           0.0098586,           0.0098586,           0.0098586
                  10,            0.045298,            0.029333,           0.0025443,             0.80054,             0.80339,             0.79927,              0.3309,            0.041493,            0.027753,           0.0014889,           0.0098213,           0.0098213,           0.0098213
                  11,             0.04283,            0.031839,           0.0024245,             0.71834,             0.73449,             0.68986,             0.29837,            0.046539,            0.030809,           0.0012415,           0.0097798,           0.0097798,           0.0097798
                  12,            0.043332,            0.030942,           0.0029349,             0.78226,             0.77037,             0.77073,             0.32525,            0.042391,            0.028426,           0.0033165,            0.009734,            0.009734,            0.009734
                  13,            0.041017,            0.030143,           0.0023477,              0.7592,             0.80389,             0.76168,             0.30558,            0.042766,            0.029218,           0.0012091,            0.009684,            0.009684,            0.009684
