               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11055,            0.046248,            0.027749,            0.012777,            0.053002,           0.0047186,          0.00089639,             0.09272,            0.041862,            0.024969,             0.00074,             0.00074,             0.09334
                   1,              0.0846,             0.04768,            0.024434,             0.20304,             0.35762,             0.18572,            0.038974,            0.070257,            0.033683,            0.019045,           0.0014897,           0.0014897,             0.08659
                   2,            0.075556,            0.039647,            0.020679,             0.27656,             0.48243,             0.26564,            0.066828,             0.06697,            0.029063,            0.011011,            0.002238,            0.002238,            0.079838
                   3,            0.070806,            0.037263,            0.011123,              0.4192,             0.60588,             0.42918,             0.11396,            0.062839,            0.026627,           0.0041712,            0.002984,            0.002984,            0.073084
                   4,            0.065391,            0.033349,           0.0071286,             0.65792,             0.67255,             0.67291,             0.19586,            0.059107,            0.027332,           0.0030738,           0.0037267,           0.0037267,            0.066327
                   5,            0.061379,            0.031059,           0.0049843,             0.62223,             0.64133,             0.58673,             0.16146,            0.058521,            0.025419,           0.0025194,           0.0044651,           0.0044651,            0.059565
                   6,            0.061218,            0.032109,           0.0042093,             0.50755,             0.59238,             0.53769,             0.16771,            0.058962,            0.025492,           0.0024561,           0.0051982,           0.0051982,            0.052798
                   7,            0.061211,            0.032487,           0.0043223,             0.59172,             0.66973,             0.59516,             0.18325,            0.056893,            0.025952,           0.0026911,           0.0059251,           0.0059251,            0.046025
                   8,             0.05787,            0.034176,           0.0042764,             0.66812,             0.75558,             0.69006,             0.23174,            0.047741,            0.026049,           0.0032296,           0.0066447,           0.0066447,            0.039245
                   9,            0.055003,            0.031778,           0.0034424,             0.57192,              0.7892,             0.66504,             0.24912,            0.052103,            0.026175,           0.0020451,           0.0073562,           0.0073562,            0.032456
                  10,            0.051851,            0.029837,           0.0039233,             0.79151,             0.75492,             0.80073,             0.32273,            0.043209,            0.025334,           0.0066586,           0.0080585,           0.0080585,            0.025659
                  11,            0.054766,            0.031698,            0.004378,             0.68552,             0.64629,             0.64868,             0.21236,            0.055137,            0.026332,           0.0024064,           0.0087508,           0.0087508,            0.018851
